questions,answers
aWhat should I do if I’ve found an error?,"Great!

If the error is on a blog post, please leave a comment. I will read it, make the fix and reply to you.
If the error is in a book, please contact me so that I can fix it and update the book ASAP.
If the error is with an open source library, contact the user group for that library.

"
aWhere can I find a machine learning coach or tutor?,"I would recommend asking in places where machine learning and data science professionals hangout.
Some ideas include:

Forums (e.g. Kaggle)
Groups (e.g. Facebook, LinkedIn, Google+)
Q&A Sites (e.g. StackOverflow, CrossValidated, Quora)
Freelancing sites (e.g. UpWork)
MeetUps

"
aWhere can I get a dataset on ___?,"I recommend searching the repositories of standard machine learning datasets.
For example:

UCI Machine Learning Repository
Kaggle Datasets
List of datasets for machine learning research on Wikipedia

Try Google’s dataset search:

Google Dataset Search

Maybe you need to collect your own dataset for your specific problem?
I have some blog posts listing popular datasets, for example:

Datasets for Natural Language Processing
Tour of Real-World Machine Learning Problems
Practice Machine Learning with Small In-Memory Datasets

Beyond that, I recommend searching via Google search.
"
aWhere can I get a research paper on ___?,"I would recommend searching on Google Scholar:

https://scholar.google.com

"
aWhere can I get code on __?,"Are you looking for sample code for a specific machine learning method?
Perhaps I have a tutorial with sample code on the blog. Search the blog:

Search Machine Learning Mastery

If I do not have an example on the blog, I cannot give you an idea of where to get code off-hand.
Nevertheless, I have some ideas here:

Perhaps find a paper on the method via Google Scholar and email the author?
Perhaps search on GitHub?
Perhaps search on Google?
Perhaps search on StackOverflow or CrossValidated?
Perhaps you can find an example in a book, use Google Book Search?

"
aWhere should I build my portfolio?,"Building a portfolio of completed machine learning projects is a great way to leverage past work on new projects and to demonstrate your growing skill.
I talk about this more here:

Build a Machine Learning Portfolio

I recommend building your portfolio in public, some suggestions of where you might do this include:

Website
Blog
GitHub
YouTube
SlideShare
Facebook
LinkedIn

Pick a medium and location with which you are most comfortable.
It might be better if you owned the location, such as your own website, so that you have more control over the future of your portfolio.
"
aWhy don’t you have a post or book on ___?,"I will get to it eventually I hope.
Until then, contact me and let me know about the topic you want me to cover.
"
aCan I change my email address?,"Yes, you can change the email address used to receive emails from Machine Learning Mastery.
Contact me, and let me know your old and the new email addresses.
"
aCan I send you an email?,"Yes.
Use the contact form.
It will go straight to my inbox.
I process emails in a batch, typically once or twice per day. This means I might not respond for 12 to 24 hours.
I often get 100s of emails per day, so please keep it brief. No big essays, code dumps, or long lists of questions. One question per email please.
"
aCan you consolidate the emails that you send?,"No.
I do not offer the ability to consolidate emails to once per week, or other intervals, sorry.
"
aCan you list all of your email courses?,"No.
I fear that crazy beginners will use the list to subscribe to everything, and then complain that I send too many emails.
Find one topic on the site that you want to learn about the most and then subscribe to the email course.
"
aCan you resend an email lesson?,"Sorry, I do not have that capability to resend emails.
Each email course is also available as a PDF that I send you in the first lesson. This PDF has all of the lessons.
Each email course is also available as a blog post, search the blog to find it and access all of the lessons.
"
aDo you read and reply to emails?,"Yes.
If you reply to one of my emails I will read it and reply.
I do get 100s of emails per day, so please do not send me essays or lists of questions.
One question per email, please.
Be kind.
"
aHow can I get emails about new tutorials?,"I have a weekly email newsletter that lists all of the new blog posts, tutorials, and news about upcoming books.
You can sign-up for it here:

Machine Learning Mastery Newsletter

"
aHow do I manage what email courses I’m subscribed to?,"What if you went crazy and subscribed to a bunch of courses.
No problem, you can manage your subscriptions yourself.

Click the “Unsubscribe” link in any email that I send.
This will take you to a webpage that says “Sorry to see you go!“.
Click the link titled “Manage my subscriptions“.
This will take you to a page called “My Campaigns“.
Choose the email courses that you do and do not want to be subscribed to by clicking buttons next to each course you are or have been previously subscribed to.

"
aHow do I unsubscribe from your emails?,"
Click the “Unsubscribe” link in any email that I send.

"
aWhat is your advice about taking email courses?,"I big mistake I see in beginners is that they sign-up to multiple courses at once. If you do this, you will get an email from each course.
I strongly recommend against this!
Take one email course at a time.
Pick one topic to focus on, and only take one email course on that topic.
"
aWhat platform do you use for emails?,"I use a platform to manage my email courses and marketing automation called Drip.
You can learn more here:

Drip Email Management

"
aWhy do you send so many emails?,"Perhaps you have signed-up to too many courses at once?
I have a number of email courses.

My main course sends about 3 emails per week.
My short courses send emails once per weekday for usually one or two weeks, depending on the course.
My newsletter comes out once per week.

If you are taking one of my email courses, you will also get the newsletter.
"
aWhy do you use email courses?,"I use email courses because, generally, my readers really love them.
I get tons of replies per day that say “thanks” or “done” or “can I have the next lesson early?“.
You have fine-grained control over what courses you subscribe to. You must choose to sign-up to them and you can then unsubscribe from a specific course or from any course at any time.
"
aWhy don’t you answer my questions on social media?,"Sorry, I don’t have the capacity to help via social media channels such as Google+, Facebook, Twitter and LinkedIn.
If you have a question, please contact me directly.
"
aWill you share or sell my email address?,"I will not share or sell your email address with any third parties.
I have built my business based on a trust with my readers and my customers and this trust is very important to me.
Your email address is only used to send email course material and newsletters from my site.
"
aAre you compliant with GDPR?,"Machine Learning Mastery is based in Australia, although we have readers and customers in the EU. Therefore, I have done my best in good faith to make Machine Learning Mastery compliant with the General Data Protection Regulation (GDPR).
You can access the policies for this website here:

Privacy
Disclaimer
Terms of Service

If you have questions about your personal information on Machine Learning Mastery or compliance with GDPR please contact me directly.

Contact

"
aCan I put an advertisement on your site?,"No.
I do not have ads on my site, except links to my own books and courses.
This is a decision that I made carefully when I started the site.
"
aCan I translate your posts into another language?,"Thanks for the offer, I’m flattered.
Please do not translate my posts or books into another language.
I have thought carefully about this:

I prefer to retain complete control over my content.
I do not have the capacity to setup and work through the deal.
I update my material frequently.

"
aCan I write a guest post for your website?,"No.
Sorry, I don’t accept guest posts.
"
aCan you answer a question about a blog post?,"Yes.
Please ask your question in the comments of the blog post.
"
aCan you link to my site?,"No.
I don’t do link trading.
I link to content that I think will help my readers learn something about machine learning at the time I write each tutorial or post.
If you think you honestly have a relevant addition to a post, then post it in the comments of that post. It is an excellent way to contribute to the ongoing discussion.
"
aDo you have an RSS feed?,"I have an RSS feed for blog posts, you can access it via the following URL:

https://machinelearningmastery.com/feed/

"
aHow can I print a tutorial page (without the sign-up form)?,"Thanks for your interest in my tutorials.
You can print a tutorial from the webpage as you would print any other webpage.
I do have a sign-up form, called a toaster form, in the bottom right of the page. When printing, this may obscure the print out.
This can be removed easily. Simply submit the form with your email address. The form will then disappear and not be shown again on any tutorial on my site.
"
aHow do I copy code from a tutorial?,"Sample code is presented in tutorials on this website using a special plugin that lets you easily copy and paste the code into your editor.
It is important that when you copy code from a tutorial that white space is preserved. This is because in languages such as Python tabs and new lines are part of the language and must be used exactly as they appear in the tutorial code for the example to work correctly.
When you hover on the code box you will see a small menu appear with buttons.
For example:

Click on the second button from the far right on this menu.
It looks like two sheets of paper.
For example:

This will highlight or select all of the code in the code box.
Copy the highlighted code. The specifics of how to copy selected code depend on your platform.

Right click on the code and click “copy“.
Or, if on windows on linux: hold down the “control” key and press the “c” key on the keyboard.
Or, if on mac: hold down the “command” key and press the “c” key on the keyboard.

You will now have code copied onto your clipboard.
Open your editor and paste the code from your clipboard into the editor.
This will vary depending on your platform and your editor. Ensure you have a new document open in your editor:

Right click on the new document in the editor and click “paste“.
Or, if your editor has a menu, click the “Edit” menu and click “Paste“.
Or, if on windows or linux: click on the new document and hold the “control” key and press the “v” key.
Or, if on mac: click on the new document and hold the “command” key and press the “v” key.

You will now have the code in your editor will all white space preserved.
You can now run the code example. Ensure that any data files that the code example depend upon are in the same directory as the code file.
"
aHow do I reference or cite a book or blog post?,"Thanks for your interest in citing my material.
You might like to include the following fields:

The Name of the author, e.g. “Jason Brownlee”.
The Title of the tutorial or book, e.g. “Deep Learning with Time Series Forecasting”
The Name of the publisher, e.g. “Machine Learning Mastery”.
The URL of the tutorial or book.
The Date you accessed or copied the code.

For example:
Jason Brownlee, Deep Learning with Time Series Forecasting, Machine Learning Mastery, Available from https://machinelearningmastery.com/machine-learning-with-python/, accessed November 6th, 2018.
Also, if your work is public, contact me, I’d love to see it out of general interest.
"
aWhat if I find a typo or error?,"Great! I want the posts to be the best they can be.
Please let me know.
Either contact me or leave a comment on the post.
I will fix up the post ASAP.
"
aWhat software do you use to run your website?,"Thanks for asking.
Perhaps you’re thinking of setting up your own website. If so, I wish you the best of luck!
Here is a summary of the software that I use to run this site:

WordPress as the content management system.
WordPress Plugins for specific functionality, for example, I use the Crayon Syntax Highlighter plugin for code examples in tutorials and posts.
WPEngine for the site hosting.
Drip for marketing automation.
SamCart for the shopping cart.
PayPal and Stripe for payment processing.

"
aWhere can I download the datasets used in your tutorials?,"Each tutorial links to the dataset used.
Each book provides the code and datasets used as a bonus, see the “code/” directory.
I have a copy of each dataset used on GitHub. The reason for this is that sometimes the third party websites that host the datasets go down, or take down datasets (as has happened recently).
You can access them here:

Datasets from Machine Learning Mastery

"
aWhere is my blog comment?,"All comments on this blog are moderated, by me.
I read every one, and reply if I can.
I often moderate comments in a batch, once per day. Please be patient.
After it is moderated, your comment will appear on the blog.
"
aWhy do you use photos in your blog posts?,"Thanks for noticing.
Machine learning can sometimes be a dry topic. I use colorful photos, mostly of nature, to add some life to the tutorials.
The photos are a reminder to me, and to you that there is a wider world out there.
"
aWhy does the code in a tutorial not work (for me)?,"I’m sorry to hear that you are having trouble running a code example.
All code tutorials were tested prior to being posted.
I have some suggestions to try:

Are you able to confirm that your libraries are up to date (e.g, check version numbers)?
Are you able to confirm that you copied all of the code exactly (preserving white space)?
Are you able to confirm that you saved any required data files in the same folder as the code?
Are you able to confirm the contents of the data file matches the expectations of the tutorial?
Have you tried running the code from the command line, not a notebook or an IDE?
Have you tried searching for a similar error in the comments or on StackOverflow?

If you think you have found a bug, please let me know.
"
aWhy is your website blocked in my country?,"I’m sorry to hear that Machine Learning Mastery is blocked in your country.
I try to make my tutorials accessible to everyone and I am not political in any way.
Regardless, my website is blocked in some countries.
Any block in access to my website is controlled either by your government or your internet service provider.
An example is Iran that blocks access to my site:

Internet censorship in Iran

Perhaps you can check with your government or your internet service provider as to why they have blocked access?
"
aCan I be a reseller for your books?,"Thanks for your interest.
Sorry, I do not support third-party resellers for my books (e.g. reselling in other bookstores).
My books are self-published and I think of my website as a small boutique, specialized for developers that are deeply interested in applied machine learning.
As such I prefer to keep control over the sales and marketing for my books.
"
aCan I exchange a book in a bundle?,"I’m sorry, I don’t support exchanging books within a bundle.
The collections of books in the offered bundles are fixed.
My e-commerce system is not sophisticated and it does not support ad-hoc bundles. I’m sure you can understand. You can see the full catalog of books and bundles here:

Machine Learning Mastery Books

If you have already purchased a bundle and would like to exchange one of the books in the bundle, then I’m very sorry, I don’t support book exchanges or partial refunds.
If you are unhappy, please contact me directly and I can organize a refund.
"
aCan I get a customized bundle of books (a la carte)?,"Thanks for your interest.
I’m sorry,  I cannot create a customized bundle of books for you. It would create a maintenance nightmare for me. I’m sure you can understand.
My e-commerce system is not very sophisticated. It cannot support ad-hoc bundles of books or the a la carte ordering of books.
I do have existing bundles of books that I think go well together.
You can see the full catalog of my books and bundles available here:

Machine Learning Mastery Books

"
aCan I get a hard copy of your book?,"Sorry, I don’t sell hard copies of my books.
All of the books and bundles are Ebooks in PDF file format.
This is intentional and I put a lot of thought into the decision:

The books are full of tutorials that must be completed on the computer.
The books assume that you are working through the tutorials, not reading passively.
The books are intended to be read on the computer screen, next to a code editor.
The books are playbooks, they are not intended to be used as references texts and sit the shelf.
The books are updated frequently, to keep pace with changes to the field and APIs.

I hope that explains my rationale.
If you really do want a hard copy, you can purchase the book or bundle and create a printed version for your own personal use. There is no digital rights management (DRM) on the PDF files to prevent you from printing them.
"
aCan I get a purchase order?,"Sorry, I cannot create a purchase order for you.
After you complete the purchase, I can prepare a PDF invoice for you for tax or other purposes.
"
aCan I get a refund for one book in a bundle?,"Sorry, no.
I cannot issue a partial refund. It is not supported by my e-commerce system.
If you are truly unhappy with your purchase, please contact me about getting a full refund.
"
aCan I get a refund?,"I stand behind my books, I know the tutorials work and have helped tens of thousands of readers.
I am sorry to hear that you want a refund.
Please contact me directly with your purchase details:

Book Name: The name of the book or bundle that you purchased.
Your Email: The email address that you used to make the purchase (note, this may be different to the email address you used to pay with via PayPal).
Order Number: The order number in your purchase receipt email.

I will then organize a refund for you.
I would love to hear why the book is a bad fit for you.
Anything that you can tell me to help improve my materials will be greatly appreciated.
I have a thick skin, so please be honest.
"
aCan I get a sample of the book?,"Sample chapters are provided for each book.
Each book has its own webpage, you can access them from the catalog.
On each book’s page, you can access the sample chapter.

Find the section on the book’s page titled “Download Your Sample Chapter“.
Click the link, provide your email address and submit the form.
Check your email, you will be sent a link to download the sample.

If you have trouble with this process or cannot find the email, contact me and I will send the PDF to you directly.
"
aCan I get a tax invoice for my purchase?,"Yes.
I can provide an invoice that you can use for reimbursement from your company or for tax purposes.
Please contact me directly with your purchase details:

The name of the book or bundle that you purchased.
The email address that you used to make the purchase.
Ideally, the order number in your purchase receipt email.
Your full name/company name/company address that you would like to appear on the invoice.

I will create a PDF invoice for you and email it back.
"
aCan I get an evaluation copy of a book?,"Sorry, I no longer distribute evaluation copies of my books due to some past abuse of the privilege.
If you are a teacher or lecturer, I’m happy to offer you a student discount.
Contact me directly and I can organize a discount for you.
"
aCan I get Kindle or ePub versions of the books?,"Sorry, I do not offer Kindle (mobi) or ePub versions of the books.
The books are only available in PDF file format.
This is by design and I put a lot of thought into it. My rationale is as follows:

I use LaTeX to layout the text and code to give a professional look and I am afraid that EBook readers would mess this up.
The increase in supported formats would create a maintenance headache that would take a large amount of time away from updating the books and working on new books.
Most critically, reading on an e-reader or iPad is antithetical to the book-open-next-to-code-editor approach the PDF format was chosen to support.

My materials are playbooks intended to be open on the computer, next to a text editor and a command line.
They are not textbooks to be read away from the computer.
"
aCan I get the ISBN for your book?,"Sorry, all of my books are self-published and do not have ISBNs.
"
aCan I get your books for free?,"Thanks for your interest in my books
I’m sorry that you cannot afford my books or purchase them in your country.
I don’t give away free copies of my books.
I do give away a lot of free material on applied machine learning already.
You can access the best free material here:

Blog
Start Here page

"
aCan I have a discount?,"Maybe.
I offer a discount on my books to:

Students
Teachers
Retirees

If you fall into one of these groups and would like a discount, please contact me and ask.
"
aCan I have an RFI / RFP / RFT / RFQ?,"Sorry, the books and bundles are for individual purchase only.
I do not respond to RFIs or similar.
"
aCan I pay via debit card?,"Maybe.
I support payment via PayPal and Credit Card.
You may be able to set up a PayPal account that accesses your debit card. I recommend contacting PayPal or reading their documentation.
"
aCan I pay via WeChat Pay or Alipay?,"Sorry no.
I do not support WeChat Pay or Alipay at this stage.
I only support payment via PayPal and Credit Card.
"
aCan I print the PDF for my personal use?,"Yes, you can print the purchased PDF books for your own personal interest.
There is no digital rights management (DRM) on the PDFs to prevent you from printing them.
Please do not distribute printed copies of your purchased books.
"
aCan I see the table of contents?,"You can review the table of contents for any book.
I provide two copies of the table of contents for each book on the book’s page.
Specifically:

A written summary that lists the tutorials/lessons in the book and their order.
A screenshot of the table of contents taken from the PDF.

If you are having trouble finding the table of contents, search the page for the section titled “Table of Contents”.
"
"aCan I send you a cheque, money order, western union, etc?","No.
I only support payment via PayPal or Credit Card.
"
aCan I upgrade to the super bundle later?,"Yes.
If you purchase a book or bundle and later decide that you want to upgrade to the super bundle, I can arrange it for you.
Contact me and let me know that you would like to upgrade and what books or bundles you have already purchased and which email address you used to make the purchases.
I will create a special offer code that you can use to get the price of books and bundles purchased so far deducted from the price of the super bundle.
"
aCan I use your material to teach my lecture or course?,"I am happy for you to use parts of my material in the development of your own course material, such as lecture slides for an in person class or homework exercises.
I am not happy if you share my material for free or use it verbatim. This would be copyright infringement.
All code on my site and in my books was developed and provided for educational purposes only. I take no responsibility for the code, what it might do, or how you might use it.
If you use my material to teach, please reference the source, including:

The Name of the author, e.g. “Jason Brownlee”.
The Title of the tutorial or book.
The Name of the website, e.g. “Machine Learning Mastery”.
The URL of the tutorial or book.
The Date you accessed or copied the code.

For example:

Jason Brownlee, Machine Learning Algorithms in Python, Machine Learning Mastery, Available from https://machinelearningmastery.com/machine-learning-with-python/, accessed April 15th, 2018.

Also, if your work is public, contact me, I’d love to see it out of general interest.
"
aCan I white-label your books or content?,"Thanks for asking.
Sorry, no.
I prefer to keep complete control over my content for now.
"
aCan your books be purchased elsewhere online or offline?,"Sorry no.
My books are self-published and are only available from my website.
"
aDo  your books provide exercises or assignments?,"Generally no.
I don’t have exercises or assignments in my books.
I do have end-to-end projects in some of the books, but they are in a tutorial format where I lead you through each step.
The book chapters are written as self-contained tutorials with a specific learning outcome. You will learn how to do something at the end of the tutorial.
Some books have a section titled “Extensions” with ideas for how to modify the code in the tutorial in some advanced ways. They are like self-study exercises.
"
aDo I get a certificate of completion?,"Sorry, I do not offer a certificate of completion for my books or my email courses.
"
aDo I get new books for free if I buy the super bundle?,"Sorry, new books are not included in your super bundle.
I release new books every few months and develop a new super bundle at those times.
All existing customers will get early access to new books at a discount price.
Note, that you do get free updates to all of the books in your super bundle. This includes bug fixes, changes to APIs and even new chapters sometimes. I send out an email to customers for major book updates or you can contact me any time and ask for the latest version of a book.
"
aDo I need to be a good programmer?,"No.
I have books that do not require any skill in programming, for example:

Machine Learning Mastery With Weka
Master Machine Learning Algorithms

Other books do have code examples in a given programming language.
You must know the basics of the programming language, such as how to install the environment and how to write simple programs. I do not teach programming, I teach machine learning for developers.
You do not need to be a good programmer.
That being said, I do offer tutorials on how to setup your environment efficiently and even crash courses on programming languages for developers that may not be familiar with the given language.
"
aDo you cover the theory and derivations?,"No.
My books do not cover the theory or derivations of machine learning methods.
This is by design.
My books are focused on the practical concern of applied machine learning. Specifically, how algorithms work and how to use them effectively with modern open source tools.
If you are interested in the theory and derivations of equations, I recommend a machine learning textbook. Some good examples of machine learning textbooks that cover theory include:

The Elements of Statistical Learning
Machine Learning: A Probabilistic Perspective
Pattern Recognition and Machine Learning

"
"aDo you have any sales, deals, or coupons?","I generally don’t run sales.
If I do have a special, such as around the launch of a new book, I only offer it to past customers and subscribers on my email list.
I do offer book bundles that offer a discount for a collection of related books.
I do offer a discount to students, teachers, and retirees. Contact me to find out about discounts.
"
aDo you have videos?,"Sorry, I don’t have videos.
I only have tutorial lessons and projects in text format.
This is by design. I used to have video content and I found the completion rate much lower.
I want you to put the material into practice. I have found that text-based tutorials are the best way of achieving this. With text-based tutorials you must read, implement and run the code.
With videos, you are passively watching and not required to take any action. Videos are entertainment or infotainment instead of productive learning and work.
After reading and working through the tutorials you are far more likely to use what you have learned.
"
aDo you offer a guarantee?,"Yes, I offer a 90-day no questions asked money-back guarantee.
I stand behind my books. They contain my best knowledge on a specific machine learning topic, and each book as been read, tested and used by tens of thousands of readers.
Nevertheless, if you find that one of my Ebooks is a bad fit for you, I will issue a full refund.
"
aDo you ship to my country?,"There are no physical books, therefore no shipping is required.
All books are EBooks that you can download immediately after you complete your purchase.
I support purchases from any country via PayPal or Credit Card.
"
aDo you support TensorFlow 2?,"Yes.
I recommend using standalone Keras version 2.4 (or higher) running on top of TensorFlow version 2.2 (or higher).
All tutorials on the blog have been updated to use standalone Keras running on top of Tensorflow 2.
All books have been updated to use this same combination.
I do not recommend using Keras as part of TensorFlow 2 yet (e.g. tf.keras). It is too new, new things have issues, and I am waiting for the dust to settle. Standalone Keras has been working for years and continues to work extremely well.
There is one case of tutorials that do not support TensorFlow 2 because the tutorials make use of third-party libraries that have not yet been updated to support TensorFlow 2. Specifically tutorials that use Mask-RCNN for object recognition. Once the third party library has been updated, these tutorials too will be updated.
"
aDoes the LSTM book cover multivariate time series?,"The book “Long Short-Term Memory Networks with Python” is not focused on time series forecasting, instead, it is focused on the LSTM method for a suite of sequence prediction problems.
The book “Deep Learning for Time Series Forecasting” shows you how to develop MLP, CNN and LSTM models for univariate, multivariate and multi-step time series forecasting problems.
"
aHow are the mini-courses different from the books?,"Mini-courses are free courses offered on a range of machine learning topics and made available via email, PDF and blog posts.
Mini-courses are:

Short, typically 7 days or 14 days in length.
Terse, typically giving one tip or code snippet per lesson.
Limited, typically narrow in scope to a few related areas.

Ebooks are provided on many of the same topics providing full training courses on the topics.
Ebooks are:

Longer, typically 25+ complete tutorial lessons, each taking up to an hour to complete.
Complete, providing a gentle introduction into each lesson and includes full working code and further reading.
Broad, covering all of the topics required on the topic to get productive quickly and bring the techniques to your own projects.

The mini-courses are designed for you to get a quick result. If you would like more information or fuller code examples on the topic then you can purchase the related Ebook.
"
aHow are the two algorithm books different?,"The book “Master Machine Learning Algorithms” is for programmers and non-programmers alike. It teaches you how 10 top machine learning algorithms work, with worked examples in arithmetic, and spreadsheets, not code. The focus is on an understanding on how each model learns and makes predictions.
The book “Machine Learning Algorithms From Scratch” is for programmers that learn by writing code to understand. It provides step-by-step tutorials on how to implement top algorithms as well as how to load data, evaluate models and more. It has less on how the algorithms work, instead focusing exclusively on how to implement each in code.
The two books can support each other.
"
aHow are your books different from the blog?,"The books are a concentrated and more convenient version of what I put on the blog.
I design my books to be a combination of lessons and projects to teach you how to use a specific machine learning tool or library and then apply it to real predictive modeling problems.
The books get updated with bug fixes, updates for API changes and the addition of new chapters, and these updates are totally free.
I do put some of the book chapters on the blog as examples, but they are not tied to the surrounding chapters or the narrative that a book offers and do not offer the standalone code files.
With each book, you also get all of the source code files used in the book that you can use as recipes to jump-start your own predictive modeling problems.
"
aHow are your books different to other books on machine learning?,"My books are playbooks. Not textbooks.
They have no deep explanations of theory, just working examples that are laser-focused on the information that you need to know to bring machine learning to your project.
There is little math, no theory or derivations.
My readers really appreciate the top-down, rather than bottom-up approach used in my material. It is the one aspect I get the most feedback about.
My books are not for everyone, they are carefully designed for practitioners that need to get results, fast.
"
aHow do I access the code provided with the book?,"A code file is provided for each example presented in the book.
Dataset files used in each chapter are also provided with the book.
The code and dataset files are provided as part of your .zip download in a code/ subdirectory. Code and datasets are organized into subdirectories, one for each chapter that has a code example.
If you have misplaced your .zip download, you can contact me and I can send an updated purchase receipt email with a link to download your package.
"
aHow do I buy a book?,"Ebooks can be purchased from my website directly.

First, find the book or bundle that you wish to purchase, you can see the full catalog here:

Machine Learning Mastery Books


Click on the book or bundle that you would like to purchase to go to the book’s details page.
Click the “Buy Now” button for the book or bundle to go to the shopping cart page.
Fill in the shopping cart with your details and payment details, and click the “Place Order” button.
After completing the purchase you will be emailed a link to download your book or bundle.

All prices are in US dollars (USD).
Books can be purchased with PayPal or Credit Card.
"
aHow do I convert my currency to US dollars?,"All prices on Machine Learning Mastery are in US dollars.
Payments can be made by using either PayPal or a Credit Card that supports international payments (e.g. most credit cards).
You do not have to explicitly convert money from your currency to US dollars.
Currency conversion is performed automatically when you make a payment using PayPal or Credit Card.
"
aHow do I download my purchase?,"After filling out and submitting your order form, you will be able to download your purchase immediately.
Your web browser will be redirected to a webpage where you can download your purchase.
You will also receive an email with a link to download your purchase.
If you lose the email or the link in the email expires, contact me and I will resend the purchase receipt email with an updated download link.
"
aHow do I get access to the bonuses?,"After you complete your purchase you will receive an email with a link to download your bundle.
The download will include the book or books and any bonus material.
"
aHow do I use a discount coupon?,"To use a discount code, also called an offer code, or discount coupon when making a purchase, follow these steps:
1. Enter the discount code text into the field named “Discount Coupon” on the checkout page.
 

Note, if you don’t see a field called “Discount Coupon” on the checkout page, it means that that product does not support discounts.
2. Click the “Apply” button.

3. You will then see a message that the discount was applied successfully to your order.
 

 
Note, if the discount code that you used is no longer valid, you will see a message that the discount was not successfully applied to your order.
 
"
aHow long do books take to ship?,"There are no physical books, therefore no shipping is required.
All books are EBooks that you can download immediately after you complete your purchase.
"
aHow long will a book take me to finish?,"I recommend reading one chapter per day.
Momentum is important.
Some readers finish a book in a weekend.
Most readers finish a book in a few weeks by working through it during nights and weekends.
"
aHow long will it take to get the book?,"You will get your book immediately.
After you complete and submit the payment form, you will be immediately redirected to a webpage with a link to download your purchase.
You will also immediately be sent an email with a link to download your purchase.
"
aIn what order should I read your books?,"What order should you read the books?
That is a great question, my best suggestions are as follows:

Consider starting with a book on a topic that you are most excited about.
Consider starting with a book on a topic that you can apply on a project immediately.

Also, consider that you don’t need to read all of the books, perhaps a subset of the books will get you the skills you need or want.
Nevertheless, one suggested order for reading the books is as follows:

Probability for Machine Learning
Statistical Methods for Machine Learning
Linear Algebra for Machine Learning
Master Machine Learning Algorithms
Machine Learning Algorithms From Scratch
Machine Learning Mastery With Weka
Machine Learning Mastery With Python
Machine Learning Mastery With R
Data Preparation for Machine Learning
Imbalanced Classification With Python
Time Series Forecasting With Python
XGBoost With Python
Deep Learning With Python
Long Short-Term Memory Networks with Python
Deep Learning for Natural Language Processing
Deep Learning for Computer Vision
Deep Learning for Time Series Forecasting
Better Deep Learning
Generative Adversarial Networks with Python

I hope that helps.
"
aIs there a license for libraries?,"Sorry, I do not have a license to purchase my books or bundles for libraries.
The books are for individual use only.
"
aIs there a team or company license?,"Generally, no.
Multi-seat licenses create a bit of a maintenance nightmare for me, sorry. It takes time away from reading, writing and helping my readers.
If you have a big order, such as for a class of students or a large team, please contact me and we will work something out.
"
aIs there any digital rights management (DRM)?,"No.
"
aIs there errata or a change log for the books?,"I update the books frequently and you can access the latest version of a book at any time.
In order to get the latest version of a book, contact me directly with your order number or purchase email address and I can resend your purchase receipt email with an updated download link.
I do not maintain a public change log or errata for the changes in the book, sorry.
"
aWhat about delivery?,"There are no physical books, therefore no delivery is required.
All books are Ebooks in PDF format that you can download immediately after you complete your purchase.
You will receive an email with a link to download your purchase. You can also contact me any time to get a new download link.
I support purchases from any country via PayPal or Credit Card.
"
aWhat book should I start with?,"My best advice is to start with a book on a topic that you can use immediately.
Baring that, pick a topic that interests you the most.
If you are unsure, perhaps try working through some of the free tutorials to see what area that you gravitate towards.

Start Here in Machine Learning

Generally, I recommend focusing on the process of working through a predictive modeling problem end-to-end:

Applied Machine Learning Process

I have three books that show you how to do this, with three top open source platforms:

Master Machine Learning With Weka (no programming)
Master Machine Learning With R (caret)
Master Machine Learning With Python (pandas and scikit-learn)

These are great places to start.
You can always circle back and pick-up a book on algorithms later to learn more about how specific methods work in greater detail.
"
aWhat books and bundles do you sell?,"Thanks for your interest.
You can see the full catalog of my books and bundles here:

Machine Learning Mastery Full Catalog 

"
aWhat books are you writing next?,"Thanks for asking.
I try not to plan my books too far into the future. I try to write about the topics that I am asked about the most or topics where I see the most misunderstanding.
If you would like me to write more about a topic, I would love to know.
Contact me directly and let me know the topic and even the types of tutorials you would love for me to write.
"
aWhat books have I already purchased?,"Contact me and let me know the email address (or email addresses) that you think you used to make purchases.
I can look up what purchases you have made and resend purchase receipts to you so that you can redownload your books and bundles.
"
aWhat currencies do you support?,"All prices are in US Dollars (USD).
All currency conversion is handled by PayPal for PayPal purchases, or by Stripe and your bank for credit card purchases.
"
aWhat if my download link expires?,"It is possible that your link to download your purchase will expire after a few days.
This is a security precaution.
Please contact me and I will resend you purchase receipt with an updated download link.
"
aWhat is the difference between the LSTM and Deep Learning books?,"The book “Deep Learning With Python” could be a prerequisite to”Long Short-Term Memory Networks with Python“. It teaches you how to get started with Keras and how to develop your first MLP, CNN and LSTM.
The book “Long Short-Term Memory Networks with Python” goes deep on LSTMs and teaches you how to prepare data, how to develop a suite of different LSTM architectures, parameter tuning, updating models and more.
"
aWhat is the difference between the LSTM and Deep Learning for Time Series books?,"Both books focus on deep learning in Python using the Keras library.
The book “Long Short-Term Memory Networks in Python” focuses on how to develop a suite of different LSTM networks for sequence prediction, in general.
The book “Deep Learning for Time Series Forecasting” focuses on how to use a suite of different deep learning models (MLPs, CNNs, LSTMs, and hybrids) to address a suite of different time series forecasting problems (univariate, multivariate, multistep and combinations).
The LSTM book teaches LSTMs only and does not focus on time series. The Deep Learning for Time Series book focuses on time series and teaches how to use many different models including LSTMs.
"
